iter	Passed	Remaining
0	1	1176
1	1	740
2	1	579
3	2	502
4	2	455
5	2	424
6	2	398
7	3	463
8	3	440
9	4	427
10	4	413
11	4	400
12	5	391
13	5	382
14	5	375
15	5	368
16	6	363
17	6	358
18	6	353
19	7	351
20	7	348
21	7	347
22	8	343
23	8	341
24	8	337
25	8	333
26	9	331
27	9	328
28	9	325
29	10	324
30	10	321
31	10	319
32	10	316
33	11	313
34	11	311
35	11	310
36	11	308
37	12	306
38	12	305
39	12	304
40	12	303
41	13	302
42	13	301
43	13	299
44	14	298
45	14	297
46	14	296
47	14	295
48	15	293
49	15	292
50	15	291
51	15	291
52	16	290
53	16	289
54	16	287
55	17	286
56	17	285
57	17	284
58	17	283
59	18	282
60	18	282
61	18	281
62	18	281
63	19	280
64	19	279
65	19	279
66	20	279
67	20	279
68	20	278
69	20	277
70	21	279
71	21	278
72	21	277
73	22	276
74	22	275
75	22	274
76	22	273
77	23	272
78	23	271
79	23	270
80	23	270
81	24	269
82	24	266
83	24	266
84	24	265
85	24	264
86	25	263
87	25	263
88	25	262
89	25	261
90	26	261
91	26	260
92	26	259
93	26	259
94	27	258
95	27	257
96	27	256
97	27	256
98	28	255
99	28	254
100	28	254
101	28	254
102	29	253
103	29	252
104	29	252
105	29	251
106	30	251
107	30	251
108	30	250
109	30	249
110	31	249
111	31	248
112	31	248
113	31	247
114	32	247
115	32	246
116	32	245
117	32	245
118	33	245
119	33	244
120	33	244
121	33	243
122	34	242
123	34	242
124	34	241
125	34	241
126	34	240
127	35	239
128	35	239
129	35	238
130	35	238
131	36	238
132	36	237
133	36	237
134	36	236
135	37	236
136	37	235
137	37	235
138	37	235
139	38	234
140	38	234
141	38	233
142	38	232
143	39	232
144	39	231
145	39	231
146	39	231
147	40	230
148	40	230
149	40	229
150	40	229
151	41	229
152	41	228
153	41	228
154	41	227
155	42	227
156	42	226
157	42	226
158	42	226
159	43	225
160	43	224
161	43	224
162	43	223
163	43	223
164	44	223
165	44	223
166	44	222
167	44	222
168	45	221
169	45	221
170	45	221
171	45	221
172	46	220
173	46	220
174	46	220
175	46	219
176	47	219
177	47	219
178	47	219
179	48	218
180	48	218
181	48	218
182	48	217
183	49	217
184	49	217
185	49	216
186	49	216
187	50	216
188	50	215
189	50	215
190	50	214
191	50	214
192	51	214
193	51	214
194	51	213
195	52	213
196	52	212
197	52	212
198	52	212
199	52	211
200	53	211
201	53	211
202	53	211
203	54	210
204	54	210
205	54	210
206	54	209
207	55	209
208	55	209
209	55	208
210	55	208
211	55	208
212	56	207
213	56	207
214	56	207
215	56	206
216	57	206
217	57	206
218	57	205
219	57	205
220	58	205
221	58	205
222	58	204
223	59	204
224	59	204
225	59	203
226	59	203
227	60	203
228	60	202
229	60	202
230	60	202
231	61	202
232	61	201
233	61	201
234	61	201
235	61	200
236	62	200
237	62	200
238	62	199
239	62	199
240	63	199
241	63	198
242	63	198
243	63	198
244	64	197
245	64	197
246	64	197
247	64	196
248	65	196
249	65	196
250	65	195
251	65	195
252	66	195
253	66	195
254	66	194
255	66	194
256	67	194
257	67	193
258	67	193
259	67	193
260	68	192
261	68	192
262	68	192
263	68	192
264	69	191
265	69	191
266	69	191
267	69	190
268	70	190
269	70	190
270	70	190
271	70	189
272	71	189
273	71	189
274	71	188
275	71	188
276	72	188
277	72	187
278	72	187
279	72	187
280	73	187
281	73	186
282	73	186
283	73	186
284	74	185
285	74	185
286	74	185
287	74	184
288	75	184
289	75	184
290	75	184
291	75	183
292	76	183
293	76	183
294	76	183
295	76	182
296	77	182
297	77	182
298	77	182
299	77	181
300	78	181
301	78	181
302	78	180
303	78	180
304	79	180
305	79	180
306	79	179
307	79	179
308	80	179
309	80	178
310	80	178
311	80	178
312	81	177
313	81	177
314	81	177
315	81	177
316	82	176
317	82	176
318	82	176
319	82	176
320	83	175
321	83	175
322	83	175
323	83	175
324	84	174
325	84	174
326	84	174
327	84	173
328	85	173
329	85	173
330	85	173
331	85	172
332	86	172
333	86	172
334	86	171
335	86	171
336	87	171
337	87	171
338	87	170
339	87	170
340	88	170
341	88	170
342	88	169
343	88	169
344	89	169
345	89	168
346	89	168
347	89	168
348	90	168
349	90	167
350	90	167
351	90	167
352	91	166
353	91	166
354	91	166
355	91	165
356	92	165
357	92	165
358	92	165
359	92	164
360	92	164
361	93	164
362	93	164
363	93	163
364	94	163
365	94	163
366	94	162
367	94	162
368	95	162
369	95	162
370	95	161
371	95	161
372	96	161
373	96	161
374	96	160
375	96	160
376	96	160
377	97	159
378	97	159
379	97	159
380	97	159
381	98	158
382	98	158
383	98	158
384	98	158
385	99	157
386	99	157
387	99	157
388	99	156
389	100	156
390	100	156
391	100	156
392	100	155
393	101	155
394	101	155
395	101	155
396	101	154
397	102	154
398	102	154
399	102	154
400	102	153
401	103	153
402	103	153
403	103	152
404	103	152
405	104	152
406	104	152
407	104	151
408	104	151
409	105	151
410	105	150
411	105	150
412	105	150
413	106	150
414	106	149
415	106	149
416	106	149
417	107	149
418	107	148
419	107	148
420	107	148
421	108	148
422	108	147
423	108	147
424	108	147
425	109	146
426	109	146
427	109	146
428	109	146
429	110	145
430	110	145
431	110	145
432	110	145
433	110	144
434	111	144
435	111	144
436	111	143
437	111	143
438	112	143
439	112	143
440	112	142
441	112	142
442	113	142
443	113	142
444	113	141
445	113	141
446	114	141
447	114	140
448	114	140
449	114	140
450	115	140
451	115	139
452	115	139
453	115	139
454	116	139
455	116	138
456	116	138
457	116	138
458	117	138
459	117	137
460	117	137
461	117	137
462	118	136
463	118	136
464	118	136
465	118	136
466	119	135
467	119	135
468	119	135
469	119	135
470	120	134
471	120	134
472	120	134
473	120	134
474	121	133
475	121	133
476	121	133
477	121	132
478	122	132
479	122	132
480	122	132
481	122	131
482	123	131
483	123	131
484	123	131
485	123	130
